Name	Class	Obtain Level	Called	Detail	
Spear Attk 1	Yarida	3	Barracks and in mission (one per character)	 	 
Spear Attk 2	Yarida	7	Barracks and in mission (one per character)	 	 
Spear Attk 3	Yarida	15	Barracks and in mission (one per character)	 	 
Spear Attk 4	Yarida	25	Barracks and in mission (one per character)	 	 
Peerless Spear	Yarida	32	N/A	Hardcoded in each UH XXX Attk function. Doesn’t work for DH skill	 
Rain Dance	Piekron	6	After every command, Including fever stop	 	 
Shield +2	Piekron	9	Barracks and in mission (each equipment)	 	 
Shield +3	Piekron	15	Barracks and in mission (each equipment)	 	 
Stab Master	Piekron	25	Barracks and in mission (one per character)	 	 
Peerless Frog	Piekron	32	Fire Dmg (Immunity won't call this)	Doesn’t work with fire immunity	 
Fish in Pond	Wooyari	10	Dmg Dealing/Taking, Before calculating damage	Status Resist boost +20%, Level+2	
Big Fish in Pond	Wooyari	15	Dmg Dealing/Taking, Before calculating damage	Status Resist boost +40%, Level+4	
Pike Attk	Wooyari	25	Barracks and in mission (one per character)	 	 
Peerless Fish	Wooyari	32	(Reserved for Peerless Fish)	NOT affected by team aid	 
Lance Attk 1	Kibadda	8	Barracks and in mission (one per character)	 	 
Lance Attk 2	Kibadda	15	Barracks and in mission (one per character)	 	 
March Speed +	Kibadda	25	Barracks and in mission (one per character)	Affects to ONLY SELF	 
Peerless Fang	Kibadda	32	Dmg Dealing/Taking, including Status Effect trigger	 	 
Attk Movement 1	Pyokorider	9	Barracks and in mission (one per character)	 	 
Grass Grower	Pyokorider	15	Dmg Dealing	10% Chance to grow grass	 
Attk Movement 2	Pyokorider	25	Barracks and in mission (one per character)	 	 
Peerless Rabbit	Pyokorider	32	While loading mission	Unlike myth, IT DOESN’T STACK	 
Damage +	Grenburr	20	Dmg Dealing/Taking, including Status Effect trigger	 	
Stagger +	Cannassault	8	Barracks and in mission (one per character)	 	 
Knockback +	Cannassault	15	Barracks and in mission (one per character)	 	 
Peerless Deer	Cannassault	32	Dmg Taking	1.2x Damage taken during HM	 
Team Aid 1	Charibasa	13	N/A	They are hardcoded in EACH skill. There’s NO GLOBAL value for boost amount	 
Team Aid 2	Charibasa	18	N/A	 	 
Critical +	Charibasa	25	Barracks and in mission (one per character)	 	 
Peerless Bird	Charibasa	32	Dmg Dealing/Taking, After critical calculation	 	 
Shields Boost 1	Taterazay	5	Barracks and in mission (one per character)	 	 
Shields Boost 2	Taterazay	15	Barracks and in mission (one per character)	 	 
March Defence	Taterazay	25	Dmg Dealing, After damage calculation	 	 
Peerless Shield	Taterazay	32	Barracks and in mission (one per character)	 	 
Stagger Resist	Guardira	8	Barracks and in mission (one per character)	 	 
Knockback Resist	Guardira	15	Barracks and in mission (one per character)	 	 
