"Id"	"Name"	"Description"
1	"Gyorocchi Theme"	"<Quests featuring music>\nAdvance! Attack!\nDefense Practice\nAttack and Dodge Practice\nMarch and Jump Practice"
2	"Hot Hot Hot Theme"	"<Quests featuring music>\nArchfiend of Restraint\nVolcano King of the Labyrinth\nCioking's Singeing Pincers"
3	"Yahoo-hoo Theme"	"<Quests featuring music>\nArchfiend of Justice\nMechanical Creatures\nMobile Biofortress Ganodias"
4	"Rinririn Theme"	"<Quests featuring music>\nArchfiend of Valour\nThe Secret of the Cave of Valour\nThe Dauntless Dragon, Majidonga"
5	"Ole Ole Ole Theme"	"<Quests featuring music>\nDuel with Ravenous in Tahi-Tahi Forest\nBonedeth Brigade in Tahi-Tahi Forest"
6	"Freakout Theme"	"<Quests featuring music>\nBlack Hoshipon Strikes Back\nBonedeth Brigade at Kulé Krater\n【Multi】Demon Forudo"
7	"Bikkura-kotta Theme"	"<Quests featuring music>\n【Multi】Fire Dragon Valo"
8	"Gyorogyoro Theme"	"<Quests featuring music>\nGoruru, the Two Faced Fiend"
9	"Ahh-woon Theme"	"<Quests featuring music>\nStandoffish Sonarchy and the Perilous Mist\nRocky Range Golem and Bonedeth Brigade"
10	"Ushishi Theme"	"<Quests featuring music>\n【Multi】Hyumitto the Baby Dragon"
11	"Kachinkoron Theme"	"<Quests featuring music>\nArchfiend of Purity\nBound for Higher Heights\nDogaeen the Steel Colossus"
12	"Oofoonfa Theme"	"<Quests featuring music>\nNaughtyfins and the Ice Forest of Introversion\nBlizzard Tower and the Bonedeth Brigade"
13	"Zunzunzun Theme"	"<Quests featuring music>\nRagewolf and the Mysterious Birch Grove\nBirch Bonedeth Brigade"
14	"Pokkurimakka Theme"	"<Quests featuring music>\nArchfiend of Adamance\nWhat Lurks Beyond the Guillotine\nDarkmask Demon Zuttankarmen"
15	"Down and Out Theme"	"<Quests featuring music>\nArchfiend of Restraint\nVolcano King of the Labyrinth\nCioking's Singeing Pincers"
16	"Ponbekedatta Theme"	"<Quests featuring music>\nArchfiend of Earnestness\nMansion Inner Garden\nShooshookle, The Insatiable"
17	"Tik Tak Tok Theme"	"<Quests featuring music>\nBuzzcrave and the Oasis\nBonedeth and the Oasis of Eternal Sleep"
18	"Hey Whazzat Theme"	"<Quests featuring music>\nArchfiend of Adamance\nWhat Lurks Beyond the Guillotine\nDarkmask Demon Zuttankarmen"
19	"Ho Hoi Yahha Theme"	"<Quests featuring music>\nOpening Quest\nThe Legendary Gigantus\nThe Great Gigante King\n【Multi】Black Dragon Libera"
20	"Donja Lalin Theme"	"<Quests featuring music>\nTraverse the Field of Giants!\nHunt the Cyclops\nHunt the Cyclops: Part Deux\n【Multi】Fire Dragon Valo"
21	"Ooh Datcool Theme"	"<Quests featuring music>\nBig Chills in Pure Snow\nHibernating Dragon\n【Multi】Ice Dragon Inosen"
